batter,batsman_run,Double_Runs,Half_Runs
JJ van der Wath,18,36,9
JL Denly,0,0,0
JL Pattinson,15,30,7
JM Bairstow,1291,2582,645
JM Kemp,26,52,13
JM Sharma,234,468,117
JO Holder,247,494,123
JP Duminy,2029,4058,1014
JP Faulkner,527,1054,263
JPR Scantlebury-Searles,8,16,4
JR Hazlewood,18,36,9
JR Hopes,417,834,208
JR Philippe,78,156,39
Jaskaran Singh,8,16,4
Joginder Sharma,36,72,18
K Goel,218,436,109
K Gowtham,186,372,93
K Kartikeya,3,6,1
K Rabada,186,372,93
K Upadhyay,12,24,6
K Yadav,0,0,0
KA Jamieson,65,130,32
KA Pollard,3437,6874,1718
KAJ Roach,10,20,5
KB Arun Karthik,51,102,25
KC Cariappa,24,48,12
KC Sangakkara,1687,3374,843
KD Karthik,4377,8754,2188
KH Pandya,1326,2652,663
KJ Abbott,13,26,6
KK Ahmed,1,2,0
KK Cooper,116,232,58
KK Nair,1496,2992,748
KL Nagarkoti,22,44,11
KL Rahul,3895,7790,1947
KM Jadhav,1196,2392,598
KMA Paul,18,36,9
KMDN Kulasekara,5,10,2
KP Appanna,2,4,1
KP Pietersen,1001,2002,500
KR Sen,0,0,0
KS Bharat,199,398,99
KS Sharma,4,8,2
KS Williamson,2105,4210,1052
KV Sharma,317,634,158
KW Richardson,36,72,18
Kamran Akmal,128,256,64
Kamran Khan,3,6,1
Karanveer Singh,12,24,6
Kartik Tyagi,13,26,6
Kuldeep Yadav,105,210,52
L Ablish,0,0,0
L Balaji,36,72,18
L Ronchi,34,68,17
LA Carseldine,81,162,40
LA Pomersbach,302,604,151
LE Plunkett,1,2,0
LH Ferguson,67,134,33
LJ Wright,106,212,53
LMP Simmons,1079,2158,539
LPC Silva,40,80,20
LR Shukla,405,810,202
LRPL Taylor,1017,2034,508
LS Livingstone,549,1098,274
Lalit Yadav,229,458,114
M Ashwin,35,70,17
M Jansen,9,18,4
M Kaif,259,518,129
M Kartik,113,226,56
M Klinger,73,146,36
M Manhas,514,1028,257
M Markande,27,54,13
M Morkel,126,252,63
M Muralitharan,20,40,10
M Ntini,11,22,5
M Prasidh Krishna,9,18,4
M Rawat,55,110,27
M Shahrukh Khan,270,540,135
M Theekshana,7,14,3
M Vijay,2619,5238,1309
M Vohra,1073,2146,536
M de Lange,1,2,0
MA Agarwal,2335,4670,1167
MA Khote,24,48,12
MA Starc,96,192,48
MA Wood,1,2,0
MC Henriques,1000,2000,500
MC Juneja,125,250,62
MD Mishra,237,474,118
MDKJ Perera,14,28,7
MEK Hussey,1977,3954,988
MF Maharoof,177,354,88
MG Johnson,167,334,83
MJ Clarke,98,196,49
MJ Guptill,271,542,135
MJ Lumb,278,556,139
MJ McClenaghan,85,170,42
MJ Santner,54,108,27
MK Lomror,267,534,133
MK Pandey,3657,7314,1828
MK Tiwary,1695,3390,847
ML Hayden,1107,2214,553
MM Ali,910,1820,455
MM Patel,39,78,19
MM Sharma,122,244,61
MN Samuels,161,322,80
MN van Wyk,167,334,83
MP Stoinis,1070,2140,535
MR Marsh,476,952,238
MS Bisla,798,1596,399
MS Dhoni,4978,9956,2489
MS Gony,99,198,49
MS Wade,179,358,89
MV Boucher,394,788,197
Mandeep Singh,1692,3384,846
Mashrafe Mortaza,2,4,1
Misbah-ul-Haq,117,234,58
Mohammad Ashraful,2,4,1
Mohammad Asif,3,6,1
Mohammad Hafeez,64,128,32
Mohammad Nabi,186,372,93
Mohammed Shami,69,138,34
Mohammed Siraj,96,192,48
Mohsin Khan,23,46,11
Mujeeb Ur Rahman,12,24,6
Mukesh Choudhary,6,12,3
Mustafizur Rahman,12,24,6
N Jagadeesan,73,146,36
N Pooran,912,1824,456
N Rana,2181,4362,1090
N Saini,140,280,70
ND Doshi,0,0,0
NJ Maddinson,20,40,10
NJ Rimmington,1,2,0
NK Patel,121,242,60
NL McCullum,26,52,13
NLTC Perera,424,848,212
NM Coulter-Nile,82,164,41
NS Naik,31,62,15
NT Ellis,18,36,9
NV Ojha,1554,3108,777
Navdeep Saini,33,66,16
OA Shah,506,1012,253
OC McCoy,8,16,4
OF Smith,51,102,25
P Awana,5,10,2
P Chopra,8,16,4
P Dogra,127,254,63
P Dubey,7,14,3
P Kumar,340,680,170
P Negi,365,730,182
P Parameswaran,1,2,0
P Ray Barman,19,38,9
P Sahu,19,38,9
P Simran Singh,64,128,32
PA Patel,2848,5696,1424
PA Reddy,164,328,82
PBB Rajapaksa,206,412,103
PC Valthaty,505,1010,252
PD Collingwood,203,406,101
PJ Cummins,379,758,189
PJ Sangwan,26,52,13
PK Garg,251,502,125
PM Sarvesh Kumar,1,2,0
PN Mankad,4,8,2
PP Chawla,584,1168,292
PP Ojha,16,32,8
PP Shaw,1588,3176,794
PR Shah,92,184,46
PSP Handscomb,6,12,3
PV Tambe,18,36,9
PVD Chameera,43,86,21
PWH de Silva,39,78,19
Pankaj Singh,7,14,3
Parvez Rasool,17,34,8
Q de Kock,2767,5534,1383
R Ashwin,647,1294,323
R Bhatia,342,684,171
R Bishnoi,19,38,9
R Dhawan,190,380,95
R Dravid,2174,4348,1087
R McLaren,159,318,79
R Ninan,3,6,1
R Parag,522,1044,261
R Powell,250,500,125
R Rampaul,51,102,25
R Sanjay Yadav,0,0,0
R Sathish,270,540,135
R Sharma,66,132,33
R Shepherd,58,116,29
R Shukla,19,38,9
R Tewatia,738,1476,369
R Vinay Kumar,310,620,155
RA Bawa,11,22,5
RA Jadeja,2502,5004,1251
RA Tripathi,1798,3596,899
RD Chahar,108,216,54
RD Gaikwad,1207,2414,603
RE Levi,83,166,41
RE van der Merwe,159,318,79
RG More,2,4,1
RG Sharma,5881,11762,2940
RJ Harris,117,234,58
RJ Peterson,32,64,16
RJ Quiney,103,206,51
RK Bhui,7,14,3
RK Singh,251,502,125
RM Patidar,404,808,202
RN ten Doeschate,326,652,163
RP Meredith,0,0,0
RP Singh,52,104,26
RR Bhatkal,0,0,0
RR Pant,2851,5702,1425
RR Powar,67,134,33
RR Raje,20,40,10
RR Rossouw,53,106,26
RR Sarwan,73,146,36
RS Bopara,531,1062,265
RS Gavaskar,2,4,1
RS Sodhi,4,8,2
RT Ponting,91,182,45
RV Gomez,50,100,25
RV Patel,31,62,15
RV Uthappa,4954,9908,2477
Ramandeep Singh,45,90,22
Rashid Khan,313,626,156
Rasikh Salam,12,24,6
Ravi Bishnoi,8,16,4
S Anirudha,136,272,68
S Aravind,59,118,29
S Badree,13,26,6
S Badrinath,1441,2882,720
S Chanderpaul,25,50,12
S Dhawan,6244,12488,3122
S Dube,688,1376,344
S Gopal,180,360,90
S Kaul,20,40,10
S Kaushik,0,0,0
S Ladda,0,0,0
S Lamichhane,0,0,0
S Nadeem,39,78,19
S Narwal,37,74,18
S Rana,91,182,45
S Randiv,2,4,1
S Sohal,368,736,184
S Sreesanth,34,68,17
S Sriram,31,62,15
S Tyagi,3,6,1
S Vidyut,145,290,72
SA Abbott,22,44,11
SA Asnodkar,423,846,211
SA Yadav,2644,5288,1322
SB Bangar,49,98,24
SB Jakati,28,56,14
SB Joshi,6,12,3
SB Styris,131,262,65
SB Wagh,2,4,1
SC Ganguly,1349,2698,674
SD Chitnis,99,198,49
SD Lad,15,30,7
SE Bond,1,2,0
SE Marsh,2489,4978,1244
SE Rutherford,106,212,53
SJ Srivastava,5,10,2
SK Raina,5536,11072,2768
SK Trivedi,42,84,21
SK Warne,198,396,99
SL Malinga,88,176,44
SM Curran,337,674,168
SM Harwood,9,18,4
SM Katich,241,482,120
SM Pollock,147,294,73
SMSM Senanayake,10,20,5
SN Khan,532,1064,266
SN Thakur,173,346,86
SO Hetmyer,831,1662,415
SP Fleming,196,392,98
SP Goswami,293,586,146
SP Jackson,61,122,30
SP Narine,1025,2050,512
SPD Smith,2495,4990,1247
SR Tendulkar,2334,4668,1167
SR Watson,3880,7760,1940
SS Cottrell,0,0,0
SS Iyer,2780,5560,1390
SS Prabhudessai,67,134,33
SS Shaikh,6,12,3
SS Tiwary,1494,2988,747
ST Jayasuriya,768,1536,384
STR Binny,880,1760,440
SV Samson,3526,7052,1763
SW Billings,503,1006,251
SW Tait,23,46,11
Sachin Baby,144,288,72
Salman Butt,193,386,96
Sandeep Sharma,52,104,26
Shahbaz Ahmed,279,558,139
Shahid Afridi,81,162,40
Shakib Al Hasan,795,1590,397
Shashank Singh,69,138,34
Shivam Mavi,51,102,25
Shivam Sharma,5,10,2
Shoaib Ahmed,1,2,0
Shoaib Akhtar,2,4,1
Shoaib Malik,52,104,26
Shubman Gill,1900,3800,950
Simarjeet Singh,7,14,3
Sohail Tanvir,36,72,18
Sunny Gupta,0,0,0
Sunny Singh,43,86,21
Swapnil Singh,12,24,6
T Banton,18,36,9
T Henderson,11,22,5
T Kohli,11,22,5
T Natarajan,3,6,1
T Shamsi,2,4,1
T Stubbs,2,4,1
T Taibu,31,62,15
T Thushara,12,24,6
TA Boult,53,106,26
TD Paine,10,20,5
TG Southee,120,240,60
TH David,187,374,93
TK Curran,127,254,63
TL Seifert,26,52,13
TL Suman,676,1352,338
TM Dilshan,1153,2306,576
TM Head,205,410,102
TM Srivastava,8,16,4
TR Birt,75,150,37
TS Mills,8,16,4
TU Deshpande,21,42,10
Tilak Varma,397,794,198
U Kaul,0,0,0
UA Birla,7,14,3
UBT Chand,300,600,150
UT Khawaja,127,254,63
UT Yadav,177,354,88
Umar Gul,39,78,19
Umran Malik,4,8,2
V Kohli,6634,13268,3317
V Pratap Singh,0,0,0
V Sehwag,2728,5456,1364
V Shankar,731,1462,365
VG Arora,5,10,2
VH Zol,29,58,14
VR Aaron,50,100,25
VR Iyer,552,1104,276
VRV Singh,4,8,2
VS Malik,7,14,3
VS Yeligati,2,4,1
VVS Laxman,282,564,141
VY Mahesh,15,30,7
Virat Singh,15,30,7
Vishnu Vinod,19,38,9
W Jaffer,130,260,65
WA Mota,56,112,28
WD Parnell,63,126,31
WP Saha,2427,4854,1213
WPUJC Vaas,81,162,40
Washington Sundar,318,636,159
X Thalaivan Sargunam,10,20,5
Y Gnaneswara Rao,19,38,9
Y Nagar,285,570,142
Y Prithvi Raj,0,0,0
Y Venugopal Rao,985,1970,492
YA Abdulla,0,0,0
YBK Jaiswal,547,1094,273
YK Pathan,3222,6444,1611
YS Chahal,37,74,18
YV Takawale,192,384,96
Yash Dayal,0,0,0
Yashpal Singh,47,94,23
Younis Khan,3,6,1
Yuvraj Singh,2754,5508,1377
Z Khan,117,234,58
